,"Date of
Purchase",Name of the Purchaser,"Bond
Number",Denominations,Name of the Political Party
0,12-04-2019,A B C INDIA LIMITED,11448,1000000,BHARATIYA JANATA PARTY
1,12-04-2019,A B C INDIA LIMITED,11447,1000000,BHARATIYA JANATA PARTY
2,12-04-2019,A B C INDIA LIMITED,11441,1000000,BHARATIYA JANATA PARTY
3,12-04-2019,A B C INDIA LIMITED,1113,100000,BHARATIYA JANATA PARTY
4,12-04-2019,A B C INDIA LIMITED,1118,100000,BHARATIYA JANATA PARTY
5,12-04-2019,A B C INDIA LIMITED,1112,100000,BHARATIYA JANATA PARTY
6,12-04-2019,A B C INDIA LIMITED,1115,100000,BHARATIYA JANATA PARTY
7,12-04-2019,A B C INDIA LIMITED,1119,100000,BHARATIYA JANATA PARTY
8,12-04-2019,A B C INDIA LIMITED,1110,100000,BHARATIYA JANATA PARTY
9,12-04-2019,A B C INDIA LIMITED,1111,100000,BHARATIYA JANATA PARTY
10,12-04-2019,A B C INDIA LIMITED,1106,100000,BHARATIYA JANATA PARTY
11,12-04-2019,A B C INDIA LIMITED,1114,100000,BHARATIYA JANATA PARTY
12,12-04-2019,A B C INDIA LIMITED,1117,100000,BHARATIYA JANATA PARTY
13,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,11556,1000000,ALL INDIA TRINAMOOL CONGRESS
14,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,11555,1000000,ALL INDIA TRINAMOOL CONGRESS
15,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1125,100000,ALL INDIA TRINAMOOL CONGRESS
16,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1129,100000,ALL INDIA TRINAMOOL CONGRESS
17,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1124,100000,ALL INDIA TRINAMOOL CONGRESS
18,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1128,100000,ALL INDIA TRINAMOOL CONGRESS
19,12-04-2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1126,100000,ALL INDIA TRINAMOOL CONGRESS
20,12-04-2019,ARIHANT ENTERPRISES,11551,1000000,BHARATIYA JANATA PARTY
21,12-04-2019,ARIHANT ENTERPRISES,11554,1000000,BHARATIYA JANATA PARTY
22,12-04-2019,ARIHANT ENTERPRISES,11553,1000000,BHARATIYA JANATA PARTY
23,12-04-2019,ARIHANT ENTERPRISES,11552,1000000,BHARATIYA JANATA PARTY
24,12-04-2019,CHOUDHARY GARMENTS,12904,1000000,BHARATIYA JANATA PARTY
25,12-04-2019,CHOUDHARY GARMENTS,12902,1000000,BHARATIYA JANATA PARTY
26,12-04-2019,ESSEL MINING AND INDS LTD,6297,10000000,BHARATIYA JANATA PARTY
27,12-04-2019,ESSEL MINING AND INDS LTD,6275,10000000,BHARATIYA JANATA PARTY
28,12-04-2019,ESSEL MINING AND INDS LTD,6261,10000000,BHARATIYA JANATA PARTY
29,12-04-2019,ESSEL MINING AND INDS LTD,6278,10000000,BHARATIYA JANATA PARTY
30,12-04-2019,ESSEL MINING AND INDS LTD,6262,10000000,BHARATIYA JANATA PARTY
31,12-04-2019,ESSEL MINING AND INDS LTD,6274,10000000,BHARATIYA JANATA PARTY
32,12-04-2019,ESSEL MINING AND INDS LTD,6257,10000000,BHARATIYA JANATA PARTY
33,12-04-2019,ESSEL MINING AND INDS LTD,6273,10000000,BHARATIYA JANATA PARTY
34,12-04-2019,ESSEL MINING AND INDS LTD,6272,10000000,BHARATIYA JANATA PARTY
35,12-04-2019,ESSEL MINING AND INDS LTD,6280,10000000,BHARATIYA JANATA PARTY
36,12-04-2019,ESSEL MINING AND INDS LTD,6251,10000000,BHARATIYA JANATA PARTY
37,12-04-2019,ESSEL MINING AND INDS LTD,4597,10000000,BHARATIYA JANATA PARTY
38,12-04-2019,ESSEL MINING AND INDS LTD,6279,10000000,BHARATIYA JANATA PARTY
39,12-04-2019,ESSEL MINING AND INDS LTD,6296,10000000,BHARATIYA JANATA PARTY
40,12-04-2019,ESSEL MINING AND INDS LTD,6256,10000000,BHARATIYA JANATA PARTY
41,12-04-2019,ESSEL MINING AND INDS LTD,6286,10000000,BHARATIYA JANATA PARTY
